,users_name,num_followers,num_tracks,users_link
308,BTS,"4,566,224 followers",0,https://soundcloud.com/bangtan
309,ALT B,"15,704 followers",0,https://soundcloud.com/altbevereti
310,Lil Baby,"1,727,882 followers",0,https://soundcloud.com/lil-baby-4pf
311,B L A C K K R A Y,"134,916 followers",0,https://soundcloud.com/blackkray
312,PnB Rock,"712,758 followers",0,https://soundcloud.com/pnbrock
313,Marky B,"39,180 followers",0,https://soundcloud.com/marky_b_music
314,rxbbits,"3,085 followers",0,https://soundcloud.com/rxbbits
315,5560mar,"3,065 followers",0,https://soundcloud.com/5560mar
316,LilBTheBasedGod,"59,004 followers",0,https://soundcloud.com/lilblovesthebasedgod
317,Houda Bondok - حوده بندق,"196,214 followers",0,https://soundcloud.com/hodabondok-music
318,deejaypatb,"40,564 followers",0,https://soundcloud.com/deejaypatb
319,Rᴀᴘ Bᴇᴀᴛs║Tʀᴀᴘ Iɴsᴛʀᴜᴍᴇɴᴛᴀʟ Tʏᴘᴇ Bᴇᴀᴛ Dʀɪʟʟ Mᴜsɪᴄ,"85,193 followers",0,https://soundcloud.com/davidsanyabeats
320,B Lovee,"48,150 followers",0,https://soundcloud.com/b-lovee
321,YNW BSlime,"141,956 followers",0,https://soundcloud.com/ynw-b-slime
322,DJ L BEATS,"55,117 followers",0,https://soundcloud.com/dj-lbeats
323,Baby B,"9,125 followers",0,https://soundcloud.com/lbabyb
324,Luke Slater,"60,925 followers",0,https://soundcloud.com/luke-slater
325,JuongB,"41,733 followers",0,https://soundcloud.com/juongbofficial
326,Dougie B,"23,482 followers",0,https://soundcloud.com/dougieb-music
327,MD B♡B,"2,398 followers",0,https://soundcloud.com/user-161586108
328,SUNSET MUSIC REPOST,"2,098 followers",0,https://soundcloud.com/ashagchandler
329,HYPEUP REPOST,"2,106 followers",0,https://soundcloud.com/isaiahmaseaward
330,officialb2s,"81,252 followers",0,https://soundcloud.com/officialb2s
331,STUDIO,"69,676 followers",0,https://soundcloud.com/wearestudio
332,dtdnb,"33,773 followers",0,https://soundcloud.com/datatransmissiondnb
333,O.B.I.,"37,379 followers",0,https://soundcloud.com/obihardtechno
334,Barry B Fresh,"29,134 followers",0,https://soundcloud.com/dj-barrybfresh
335,4B,"139,268 followers",0,https://soundcloud.com/dj4b
336,Tripple B,66 followers,0,https://soundcloud.com/tripple-b-197001131
337,B-Wizz,"7,649 followers",0,https://soundcloud.com/b-wizz-277564513
338,Max B,"9,943 followers",0,https://soundcloud.com/maxbofficial
339,Lil Bean,"15,403 followers",0,https://soundcloud.com/lilbeno3
340,𝗕𝟰𝗦𝗦𝗧𝗘𝗘,"2,105 followers",0,https://soundcloud.com/b4sstee
341,bsteezy,285 followers,0,https://soundcloud.com/steezy-b-official
342,Ruth B.,"31,287 followers",0,https://soundcloud.com/ruthbofficial
343,DJ NATZ B,"12,816 followers",0,https://soundcloud.com/djnatzb
344,Diatonik,"3,979 followers",0,https://soundcloud.com/diatonik-ind
345,Star Brights,"8,084 followers",0,https://soundcloud.com/starbrightsofficial
346,LOBSTA B,"18,243 followers",0,https://soundcloud.com/lobsta-b
347,DJ Guizim : @Djguizim,"3,935 followers",0,https://soundcloud.com/djguizimofc
348,996Lit,"1,268 followers",0,https://soundcloud.com/996lit
349,Noghtte,92 followers,0,https://soundcloud.com/noghtte
